name,location,cuisines,rating,approx_cost
Doddamma Devi Juice & Chats Centre,Bannerghatta Road,"Chinese, Street Food, Juices",0.0,200.0
Kabab Corner,Bannerghatta Road,"Arabian, Chinese, Kerala",0.0,400.0
Sandwich Mamas,Bannerghatta Road,Fast Food,3.2,300.0
The Shake Factory Originals,Bannerghatta Road,"Beverages, Fast Food",3.3,200.0
Foodiction,Bannerghatta Road,"North Indian, Fast Food, Chinese, Burger",2.9,500.0
Hotel Lakshmi Paradise,Bannerghatta Road,"North Indian, Mughlai",3.3,400.0
Kamat,Bannerghatta Road,"South Indian, Fast Food",0.0,300.0
Jugz Cafe,Bannerghatta Road,South Indian,0.0,250.0
Taste Of Home,Bannerghatta Road,"South Indian, North Indian, Chinese",0.0,300.0
The Punjabi Tadka,Bannerghatta Road,North Indian,0.0,200.0
Desi Bites,Bannerghatta Road,Street Food,3.3,200.0
Shiv Sai,Bannerghatta Road,North Indian,3.2,400.0
Dastarkhan,Bannerghatta Road,Mughlai,0.0,400.0
Sri Banashankari Biryani Kabab Centre,Bannerghatta Road,"Biryani, Fast Food",0.0,100.0
The Sandesh Factory,Bannerghatta Road,"Mithai, Desserts",0.0,150.0
Adi's Cake N Cafe,Bannerghatta Road,Bakery,0.0,400.0
D Fusion,Bannerghatta Road,"Fast Food, Chinese",0.0,400.0
The Right Moo Organic Icecreams,Bannerghatta Road,Desserts,0.0,300.0
Swad Family Restaurant,Bannerghatta Road,"North Indian, Chinese",0.0,650.0
Bread & Better,Bannerghatta Road,"Bakery, Fast Food",0.0,50.0
Papa Khan Biryani,Bannerghatta Road,"Biryani, Mughlai",0.0,300.0
Vah Biryani,Bannerghatta Road,"Biryani, Chinese",0.0,300.0
9 Tea,Bannerghatta Road,"South Indian, Street Food, Tea",0.0,200.0
Gobble Up,Bannerghatta Road,"Chinese, Street Food",0.0,200.0
Sri Annalakshmi,Bannerghatta Road,"South Indian, North Indian",0.0,200.0
Magadh Jalpan,Bannerghatta Road,Street Food,0.0,200.0
Annam Ilaiyil,Bannerghatta Road,South Indian,0.0,450.0
Kopper Pot,Bannerghatta Road,Bakery,0.0,500.0
Chillax Point,Bannerghatta Road,"North Indian, Chinese",0.0,300.0
Little Sweetooth,Bannerghatta Road,Bakery,0.0,300.0
Tandoor Plaza,Bannerghatta Road,North Indian,0.0,500.0
Chef Snow,Bannerghatta Road,"North Indian, Chinese",0.0,300.0
Northway Cuisine,Bannerghatta Road,"North Indian, Chinese",0.0,350.0
Udupi Biriyani Point,Bannerghatta Road,"North Indian, South Indian",0.0,190.0
Fresh Code,Bannerghatta Road,"Chinese, North Indian",0.0,300.0
A-1 Chicken Biriyani & Kababs,Bannerghatta Road,Mughlai,0.0,200.0
The Ocean Kitchen,Bannerghatta Road,"North Indian, Chinese, Seafood, South Indian",0.0,200.0
Smooth,Bannerghatta Road,"Desserts, Ice Cream",0.0,200.0
Om Nom Thai,South Bangalore,"Thai, Momos",0.0,400.0
The Juicy,JP Nagar,"Beverages, Juices",3.5,100.0
Feast and Burp,Bannerghatta Road,North Indian,3.3,300.0
Mr Shawarma,Bannerghatta Road,Fast Food,0.0,200.0
Chocolate Junction,Bannerghatta Road,Desserts,0.0,200.0
Pohawala,Bannerghatta Road,Fast Food,0.0,100.0
Zengi Pub & Restaurant,BTM,"Finger Food, Continental, Chinese",3.7,900.0
Cafe Indiana,Bannerghatta Road,"Fast Food, Desserts",3.5,600.0
Stajasia Ahara,Bannerghatta Road,Mexican,0.0,100.0
Zainee Home food,Bannerghatta Road,North Indian,0.0,300.0
Pumpkin Food Workshop,Bannerghatta Road,"Chinese, North Indian, South Indian",0.0,350.0
Ammi's Biryani,Bannerghatta Road,"Biryani, North Indian",2.4,500.0
Multi Cakes,Bannerghatta Road,"Bakery, Desserts",3.0,200.0
Bhukkad,Bannerghatta Road,"Healthy Food, Fast Food",3.1,250.0
WOW Laddus,JP Nagar,Mithai,0.0,800.0
Ambur Hotel,Bannerghatta Road,South Indian,0.0,250.0
Malhar Maharashtrian Cuisine,Bannerghatta Road,Maharashtrian,4.0,500.0
Mandi,JP Nagar,North Indian,3.8,800.0
Pallavi North Indian Veg Restaurant,JP Nagar,"Biryani, North Indian, Chinese",3.7,450.0
Restro Cafe,Jayanagar,Cafe,3.8,400.0
Idly Pidly,Bannerghatta Road,South Indian,3.2,250.0
Vasudev Adiga's,Bannerghatta Road,"South Indian, North Indian, Chinese, Street Food, Juices",2.3,250.0
The Biryani House,JP Nagar,Andhra,0.0,400.0
TGI Fridays,Bannerghatta Road,"American, Burger, Italian, Steak",3.9,1700.0
Earth Plate Express,JP Nagar,"Italian, Continental",3.9,600.0
Gharelu Zaika,JP Nagar,North Indian,3.7,250.0
Sardarji Londonwaley,Bannerghatta Road,North Indian,0.0,450.0
Apsara Ice Cream,Bannerghatta Road,"Ice Cream, Desserts",4.0,200.0
Jiyo Natural,South Bangalore,"Healthy Food, North Indian",3.6,300.0
Suji's Kitchen,JP Nagar,"South Indian, North Indian",0.0,300.0
Delicious Night,JP Nagar,"Biryani, Chinese, Fast Food",0.0,200.0
Zyksha,South Bangalore,Fast Food,3.4,200.0
Biryani Times,JP Nagar,Biryani,3.5,300.0
Hotel Sri Annapoorneshwari Vegetarian,Bommanahalli,"Andhra, South Indian, Fast Food",0.0,200.0
KHANAPUR TIFFINS,South Bangalore,"North Indian, Rajasthani",0.0,250.0
Papa Khan Rasoi,Unknown,,0.0,0.0
Sambram,JP Nagar,"Biryani, North Indian",0.0,800.0
Targaryen's Kitchen,JP Nagar,"Chinese, North Indian, Mughlai",3.6,600.0
Sakshi,Bannerghatta Road,"North Indian, Biryani, Chinese, Seafood",3.0,550.0
MK Dabbawala,Bannerghatta Road,North Indian,3.0,400.0
Desi Vibes,BTM,North Indian,3.7,400.0
Polar Bear,CV Raman Nagar,Ice Cream,0.0,150.0
Aman Chaat's And Fast Food Corner,Bannerghatta Road,"North Indian, Chinese",0.0,150.0
The French Loaf,Bannerghatta Road,"Bakery, Desserts, Sandwich",2.9,400.0
Kulfi & More,BTM,"Ice Cream, Desserts, Juices",3.7,150.0
Dal Roti,JP Nagar,North Indian,3.7,150.0
Jhasaa,BTM,"Seafood, Salad, North Indian, Biryani, Chinese",3.2,500.0
Wat-a-Biryani,Kumaraswamy Layout,Biryani,0.0,500.0
Status,Bannerghatta Road,"North Indian, Chinese",3.2,600.0
Juice Fresco & Pizza,JP Nagar,"Beverages, Pizza",3.4,300.0
BMR Hyderabad Biryani,BTM,Biryani,3.6,400.0
Red Chilli,BTM,"Chinese, Biryani",0.0,400.0
Dakshin Food Palace,JP Nagar,"South Indian, North Indian, Chinese",3.7,450.0
Darjeeling Momo Adda,Bannerghatta Road,"Chinese, Tibetan, North Indian, Momos",3.1,200.0
Bottle Breacher,JP Nagar,"Italian, Continental",4.1,1200.0
Special Biriyani,JP Nagar,"North Indian, Biryani",2.9,300.0
Ministry of Burger,Electronic City,Continental,0.0,500.0
Delhi Food Factory,JP Nagar,North Indian,0.0,500.0
The Tucck Box,JP Nagar,"Chinese, South Indian",3.4,300.0
Swad Plaza,BTM,"North Indian, Chinese",3.4,400.0
Just Bite@Late Night,BTM,"Sandwich, Fast Food, Burger, Rolls",0.0,300.0
Sweet Chariot,Bannerghatta Road,"Bakery, Desserts, Fast Food",2.8,500.0
Sri Balaji Chats and Icecreams,Bommanahalli,Fast Food,0.0,250.0
Desi Aahar,BTM,"North Indian, Chinese, Seafood",0.0,400.0
Bhojan@99,Bannerghatta Road,Fast Food,0.0,200.0
Kesariya,JP Nagar,Rajasthani,4.2,1200.0
Swad Restaurant,BTM,"Chinese, North Indian",3.7,550.0
Checkpost,JP Nagar,"South Indian, Seafood, Rolls, Beverages",4.1,400.0
Nourich,JP Nagar,"Continental, Chinese, North Indian, Asian, Healthy Food, Fast Food",0.0,800.0
Karavali Grand,JP Nagar,"North Indian, Seafood",0.0,600.0
Nandhini Paradise,JP Nagar,North Indian,3.8,600.0
New Kabab Plaza,BTM,"North Indian, Chinese",3.7,500.0
Coastal Mama,JP Nagar,"Konkan, Mangalorean, North Indian, Seafood",4.1,700.0
Wudfyr,JP Nagar,"Fast Food, Italian, North Indian, Steak",0.0,700.0
Waah Biryani,JP Nagar,"North Indian, Chinese, Biryani",3.8,350.0
Rara Avis,JP Nagar,"Kerala, Seafood, Biryani, Desserts",3.9,400.0
Chillz,JP Nagar,"Fast Food, Juices, Street Food",3.5,100.0
Sri Lakshmi Curries & Pickles,JP Nagar,"Andhra, Biryani",2.9,400.0
Baskin Robbins,JP Nagar,Ice Cream,3.9,250.0
The Punjabi Rasoi,JP Nagar,North Indian,0.0,800.0
Royal Chef Naati Oota,JP Nagar,"South Indian, Biryani, North Indian",4.0,500.0
The Crazy Wall,JP Nagar,"Fast Food, Beverages, Sandwich",0.0,600.0
Vasantha Grand,JP Nagar,"South Indian, North Indian, Chinese",0.0,250.0
Cafe Hops,JP Nagar,"Desserts, Bakery",3.7,300.0
Flow - Terrace Bar & Grill,JP Nagar,"Pizza, Continental, North Indian, Chinese",3.8,1000.0
Ningi Family Restaurant,JP Nagar,"South Indian, Biryani, Chinese",3.5,400.0
Lassi Corner,JP Nagar,"Beverages, Desserts",0.0,200.0
Advika Briyani Center,JP Nagar,Biryani,3.4,300.0
Chill Magic,JP Nagar,"Juices, Beverages",0.0,200.0
Sai Jagannath Food and Chats Point,Bommanahalli,"South Indian, Chinese",3.8,300.0
Joey's,BTM,"Chinese, Fast Food",3.7,300.0
Sree Krishna Kafe,JP Nagar,South Indian,3.9,200.0
Dilish Kitchens,BTM,"North Indian, Chinese",3.7,500.0
Daily Bread,JP Nagar,"Bakery, Fast Food, Italian",3.2,600.0
Shanmukha,JP Nagar,"Biryani, Seafood, Chinese, Charcoal Chicken",3.1,400.0
Jaganath Restaurant And Hotel,JP Nagar,North Indian,3.2,300.0
Thayee Touch,JP Nagar,"North Indian, Chinese, South Indian",3.6,450.0
Eten,JP Nagar,"Salad, Healthy Food",3.8,600.0
Owl's Kitchen,BTM,"North Indian, Chinese",3.1,500.0
Kakal Kai Ruchi,JP Nagar,"South Indian, North Indian, Chinese",3.9,450.0
Blue Berry Restaurant,BTM,"North Indian, Kerala, Chinese",2.9,600.0
Bangali Babu Restaurant,BTM,"Mithai, Desserts, Fast Food",0.0,250.0
Donne Biriyani Mane,JP Nagar,"Biryani, Kebab",0.0,250.0
Sri Brahmi Kuteera,JP Nagar,South Indian,0.0,150.0
Deccan Spice,JP Nagar,"North Indian, South Indian, Biryani",3.5,750.0
Desi Wok,BTM,"North Indian, Chinese",2.7,500.0
Namana Garden,BTM,"North Indian, South Indian, Chinese, Street Food",2.6,400.0
Day N Night Kitchen,BTM,"Biryani, Chinese, North Indian",3.2,450.0
Andhra Grills,JP Nagar,"Andhra, North Indian, Biryani",3.0,800.0
Appam Centre,JP Nagar,Kerala,3.2,200.0
The Chef Restaurant,BTM,"North Indian, Chinese, South Indian",0.0,600.0
Sea Horse,JP Nagar,"South Indian, Chinese",3.4,400.0
Sang Grail,JP Nagar,Healthy Food,3.6,300.0
Spice Taj,BTM,"North Indian, Chinese",0.0,300.0
Cakeship,JP Nagar,"Bakery, Desserts",0.0,200.0
Hungry Hub,JP Nagar,Fast Food,0.0,300.0
Sweet Melts,JP Nagar,"Desserts, Ice Cream",0.0,400.0
Chat Junction,JP Nagar,"Street Food, Fast Food",0.0,250.0
New Nandan Family Restaurant,JP Nagar,"Andhra, Chinese, North Indian, South Indian",0.0,450.0
Udupi Thadka,BTM,"South Indian, Chinese, North Indian",0.0,250.0
Arzak,JP Nagar,"Arabian, Middle Eastern, Rolls, Seafood, BBQ",0.0,300.0
Petoo,JP Nagar,"North Indian, Fast Food, Street Food",3.7,800.0
Night Panda,JP Nagar,"Fast Food, North Indian, Chinese",2.9,500.0
Spicy Grill,JP Nagar,"Chinese, Fast Food",0.0,350.0
E2 - EntrÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ©e Envoy,BTM,"Chinese, North Indian, Biryani",3.5,550.0
Aha Juice Bar,BTM,"Beverages, Fast Food",3.6,200.0
Cafe Club Kerala Restaurant,BTM,Kerala,0.0,300.0
Cake N Cookies,JP Nagar,Bakery,0.0,350.0
Bright Go Nuts,JP Nagar,Drinks Only,0.0,100.0
Hotel Namadhari,JP Nagar,"South Indian, Chinese",0.0,150.0
Nammuru Nati Hotel,JP Nagar,South Indian,0.0,300.0
3ice Cubes,JP Nagar,"Juices, Sandwich, Street Food",0.0,150.0
Tasty Restaurant,JP Nagar,"Kerala, South Indian, Chinese",0.0,300.0
Hotel Ambara,JP Nagar,South Indian,0.0,500.0
Biryani Treat,JP Nagar,Biryani,0.0,400.0
Best Biryani,JP Nagar,"North Indian, Biryani, Desserts",0.0,300.0
Innate,JP Nagar,Beverages,0.0,0.0
Tandoori Spot,JP Nagar,"North Indian, Chinese",3.5,500.0
Night Hunger,JP Nagar,North Indian,3.1,350.0
Santhrupthi Halli Mane,BTM,"North Indian, Chinese, South Indian",0.0,500.0
Iyengar's Bakery,JP Nagar,"Bakery, Fast Food",0.0,600.0
Nutri Fit,JP Nagar,Healthy Food,0.0,300.0
New Kabab Plaza,BTM,"Biryani, North Indian",0.0,300.0
Padosi Apke Apne,JP Nagar,"South Indian, Chinese, North Indian",0.0,300.0
Grill On Wheels,JP Nagar,"North Indian, Chinese, BBQ, Arabian, Fast Food",0.0,400.0
Charcoal Flame,JP Nagar,"Awadhi, Biryani",0.0,500.0
Chicken Dera,JP Nagar,"Mughlai, Kebab, Biryani",3.0,400.0
Cocoa 'n' CrÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ¨me,JP Nagar,"Bakery, Desserts",3.5,250.0
Spicyzone Restaurant,Bommanahalli,"North Indian, Chinese, Mughlai, Biryani",0.0,400.0
Sri Shyam Sweets & Snacks,JP Nagar,"Fast Food, Street Food",0.0,100.0
Hunger Nights,JP Nagar,"Chinese, North Indian",0.0,400.0
Kivona's Kitchen,BTM,North Indian,0.0,300.0
Bake The Cake,Bommanahalli,Bakery,0.0,400.0
Dhe Chef Cafe,BTM,"North Indian, Rolls",0.0,200.0
Desi Jalpaan,JP Nagar,"Street Food, North Indian",0.0,150.0
Arabian Nights,JP Nagar,"Mughlai, Biryani, Kebab",0.0,200.0
Soul Curries,JP Nagar,South Indian,0.0,150.0
It's My Meal Food Service,HSR,"North Indian, Chinese",0.0,300.0
Udupi Park Inn,JP Nagar,"South Indian, North Indian, Chinese",0.0,150.0
Thirsty Tiger,JP Nagar,"Continental, Finger Food",3.5,1300.0
Bay Root,BTM,"North Indian, Arabian",3.7,400.0
BTM Cakes,BTM,"Bakery, Desserts",3.3,400.0
Spicy World,JP Nagar,North Indian,3.4,200.0
Super Chef's (New Royal treat),Bannerghatta Road,"North Indian, Chinese, South Indian",0.0,0.0
Shiv Sagar,Bannerghatta Road,"South Indian, Beverages",3.6,400.0
Moms Flavor,JP Nagar,"North Indian, Chinese",0.0,400.0
Kamat Swaad,JP Nagar,"South Indian, North Indian, Chinese",3.9,400.0
Ishta Cafe,Bannerghatta Road,"Pizza, South Indian, Healthy Food",3.9,200.0
Combo Studio,Bannerghatta Road,"North Indian, Biryani, Chinese",3.1,500.0
Tastte!!,Bannerghatta Road,"Biryani, North Indian, Chinese",3.7,450.0
Kanhaiyas,Bannerghatta Road,South Indian,3.6,150.0
Juice Lounge,BTM,"Beverages, Healthy Food",3.1,250.0
Sri Krishna Delight,BTM,"North Indian, South Indian",0.0,250.0
Mumbai Kulfi,Marathahalli,"Desserts, Ice Cream",0.0,200.0
Tandoor Nation,BTM,"North Indian, Chinese",3.0,400.0
Indian Kitchen Eateries-IKE,BTM,Fast Food,3.4,150.0
South Mouth,Bannerghatta Road,"North Indian, Fast Food",0.0,300.0
The Little Kitchen,JP Nagar,"Chinese, North Indian",3.4,300.0
Diya's Findish,Bommanahalli,"North Indian, Chinese, Bengali",3.3,500.0
Best Shawarmas,BTM,Rolls,0.0,300.0
Laa Raiba Restaurant,Bannerghatta Road,"Kerala, Chinese, South Indian",3.3,300.0
Bhavani Upahara,Bannerghatta Road,South Indian,3.3,250.0
Sampoorna,JP Nagar,"Chinese, North Indian",3.6,600.0
Cafe Mist,JP Nagar,"Cafe, American, Continental, Italian",3.8,500.0
Fat Chef Biryani Wale,Bannerghatta Road,"Biryani, North Indian",3.3,400.0
Kesar Restaurant,JP Nagar,"North Indian, Chinese, South Indian",3.6,200.0
Hottey Smokey,JP Nagar,"American, Continental, Salad, Italian",0.0,400.0
The Duke of Juices,JP Nagar,"Juices, Beverages, Salad",0.0,200.0
Kababji Cafe,JP Nagar,"Arabian, Middle Eastern, Rolls",0.0,300.0
Navab's,Kumaraswamy Layout,"North Indian, Chinese",0.0,600.0
Bottle Genie,JP Nagar,Beverages,0.0,250.0
Chawla's 2 Online.com,JP Nagar,North Indian,3.5,800.0
Namma Halli Jonne Biryani,Bannerghatta Road,Biryani,3.3,300.0
Shake The Shake,Bannerghatta Road,Juices,0.0,200.0
The Biriyani Factory,BTM,"North Indian, Biryani",3.1,500.0
Sethi's,JP Nagar,"North Indian, Chinese, BBQ",0.0,600.0
Food Singh,JP Nagar,North Indian,0.0,500.0
Insta Cafe,BTM,"Cafe, Continental, Pizza, Italian, Beverages",2.9,400.0
Chination,JP Nagar,Chinese,0.0,600.0
The Breakfast Adda,Bannerghatta Road,Continental,0.0,250.0
Amma's Pastries,Bannerghatta Road,Bakery,4.0,400.0
Polar Bear,Bannerghatta Road,"Ice Cream, Desserts, Beverages, Sandwich",3.9,400.0
World on a Swirl,Bannerghatta Road,"Ice Cream, Desserts, Rolls",3.8,300.0
Kanti Sweets,Bannerghatta Road,"Mithai, Street Food",3.5,400.0
Baskin Robbins,Bannerghatta Road,"Ice Cream, Desserts",3.6,250.0
Lassi Shop,Bannerghatta Road,"Beverages, Ice Cream",3.7,200.0
L J Iyengar Bakery,Bannerghatta Road,Bakery,3.2,100.0
Nandhana Mithai,Bannerghatta Road,"Mithai, Desserts",0.0,500.0
Ice Bowl,Bannerghatta Road,"Desserts, Beverages",3.4,250.0
Ooty Dreams,Bannerghatta Road,"Desserts, Ice Cream",0.0,250.0
K.C Das,Bannerghatta Road,"Mithai, Street Food",3.4,200.0
Mr Gola,Bannerghatta Road,Desserts,3.4,100.0
Orchard Fresh,Bannerghatta Road,"Ice Cream, Desserts",0.0,400.0
Rock On Rolls & Parathas,Bannerghatta Road,Rolls,0.0,250.0
Frosty Creams,South Bangalore,"Ice Cream, Desserts",3.7,300.0
Squeez Juice Bars,Bannerghatta Road,"Ice Cream, Juices",3.1,250.0
Kulfi Adda,Bannerghatta Road,"Ice Cream, Desserts",3.4,150.0
Food Prade Dairy Delight,Bannerghatta Road,Desserts,0.0,300.0
Me And My Cake,Bannerghatta Road,"Bakery, Desserts",0.0,500.0
Bowring Kulfi,Bannerghatta Road,"Ice Cream, Desserts",0.0,150.0
Oven Fresh,Bannerghatta Road,"Bakery, Fast Food",0.0,600.0
Amma's Pastries,JP Nagar,Desserts,3.6,400.0
Cakes And Crumbs,JP Nagar,Bakery,3.4,350.0
Cream Stone,JP Nagar,"Desserts, Beverages",4.0,500.0
The Cake Zone,JP Nagar,Bakery,0.0,200.0
Venkateshwara Sweets and Restaurant,JP Nagar,"South Indian, Mithai, Chinese, North Indian",3.6,400.0
Calvin's,JP Nagar,"Desserts, Italian, Pizza",2.9,800.0
Mini Forest,JP Nagar,"Fast Food, Desserts",3.3,500.0
Kulfi & More,JP Nagar,"Ice Cream, Desserts, Juices",3.3,150.0
Delhi Sweets,JP Nagar,"Street Food, Mithai",3.1,100.0
DG Juice Club,JP Nagar,"Beverages, Desserts",0.0,250.0
Wow Lassi House,BTM,"Beverages, Desserts",0.0,200.0
Whisk' N Creme',BTM,Bakery,3.5,300.0
Veruthe Oru Thattukada,Bannerghatta Road,"Kerala, South Indian",3.8,400.0
A2B - Adyar Ananda Bhavan,Bannerghatta Road,"South Indian, North Indian, Chinese, Street Food",2.7,400.0
Beijing Bites,Bannerghatta Road,"Chinese, Thai",2.7,850.0
Kabab Magic,Bannerghatta Road,"North Indian, Kebab, Chinese, Fast Food",3.7,400.0
Thalassery Food Court,Bannerghatta Road,"Kerala, North Indian, Chinese",3.1,500.0
Guru Paradise,Bannerghatta Road,"Chinese, South Indian, North Indian",2.9,1000.0
Diletto,Bannerghatta Road,"North Indian, Chinese",3.5,800.0
Terrace Lounge,Bannerghatta Road,"North Indian, Chinese, Seafood",3.6,1600.0
Utsav Restaurant,Bannerghatta Road,"North Indian, Chinese, Italian, South Indian",3.6,1000.0
Fresh Lemon Soda,Bannerghatta Road,"Beverages, Street Food",3.1,150.0
Hotel Green Way,Bannerghatta Road,"North Indian, South Indian, Chinese",0.0,500.0
Hunger Restaurant,Bannerghatta Road,South Indian,0.0,500.0
Sri Annapurneswari Hotel,Bannerghatta Road,"South Indian, Chinese",0.0,300.0
Sai Abhiruchi,Bannerghatta Road,"Andhra, North Indian, Biryani",0.0,800.0
Purani Dilli By Anand Sweets,Bannerghatta Road,"North Indian, Continental, Street Food",4.1,500.0
KFC,Bannerghatta Road,"Burger, Fast Food",3.8,400.0
Ingu Tengu,Bannerghatta Road,South Indian,3.9,150.0
Green Onion,Bannerghatta Road,Chinese,3.3,400.0
Chaitanya Grand,Bannerghatta Road,"South Indian, North Indian, Chinese",3.6,300.0
More Pizza,Bannerghatta Road,Italian,3.5,500.0
Spar Refresh,Bannerghatta Road,"North Indian, South Indian, Pizza",3.4,300.0
Marhaba,Bannerghatta Road,"Arabian, Mediterranean, North Indian",3.5,500.0
Manjushree Veg,Bannerghatta Road,"South Indian, Chinese",3.5,150.0
Sai Shiv Sagar,Bannerghatta Road,"South Indian, North Indian",2.8,300.0
Tiwari's,Bannerghatta Road,"North Indian, Street Food",3.9,200.0
Pizza Hut,Bannerghatta Road,Pizza,2.4,750.0
Pathaan Sir,Bannerghatta Road,"Fast Food, Rolls, Momos",3.2,250.0
Thrupthi Restaurant,Bannerghatta Road,Kerala,3.4,150.0
Panchami Garden,Bannerghatta Road,"South Indian, North Indian",3.5,400.0
Santrupti Sagar,Bannerghatta Road,"South Indian, Fast Food, North Indian",2.9,300.0
SLV Kabab Centre,Bannerghatta Road,"Biryani, Fast Food",3.2,100.0
Juicy Hut,Bannerghatta Road,"Juices, Fast Food",3.2,200.0
Loca Moca - The Indian Grub,Bannerghatta Road,"North Indian, Biryani",3.4,600.0
Shanghai Times,Bannerghatta Road,"Chinese, Asian",3.2,450.0
Cane Recipes,Bannerghatta Road,Juices,3.5,100.0
Food Memories,Bannerghatta Road,Fast Food,3.3,200.0
Hotel Amarjothi,Bannerghatta Road,"South Indian, North Indian, Chinese",0.0,400.0
Desi Adda,Bannerghatta Road,"North Indian, South Indian",0.0,300.0
Nammura Donne Biriyani,Bannerghatta Road,Biryani,3.2,300.0
New Ambur Hot Dum Biryani,Bannerghatta Road,Biryani,0.0,200.0
Sri Devi Darshan,Bannerghatta Road,South Indian,0.0,200.0
Dosa Deep,Bannerghatta Road,South Indian,0.0,150.0
Priyadharshini Hotel,Bannerghatta Road,"North Indian, South Indian, Chinese",0.0,200.0
Naga's,Bannerghatta Road,"Hyderabadi, Andhra, North Indian",2.7,500.0
Suchi Ruchi Veg & Non Veg Resturant,Bannerghatta Road,"South Indian, North Indian",3.2,400.0
Sai Food Court,Bannerghatta Road,"South Indian, North Indian",0.0,250.0
Hyder Ali Kitchen,Bannerghatta Road,Biryani,0.0,300.0
Thalassery Hotel,Bannerghatta Road,"Kerala, South Indian",0.0,300.0
Ammachide Addukala,Bannerghatta Road,Kerala,3.5,300.0
Jiffy Fast Food,Bannerghatta Road,"Arabian, Juices",0.0,200.0
Sree Durga Darshini Veg,Bannerghatta Road,South Indian,0.0,200.0
Sri SLV Bhavan,Bannerghatta Road,South Indian,0.0,250.0
Kalakki Biryani,Bannerghatta Road,"Andhra, Biryani",0.0,300.0
Yumme,Bannerghatta Road,"Fast Food, Burger, Sandwich, Street Food",0.0,250.0
Paratha Junction,Bannerghatta Road,"North Indian, Chinese",2.4,300.0
Chaatimes,Bannerghatta Road,"Street Food, Fast Food",3.4,200.0
Bao & Grills,Bannerghatta Road,"Chinese, Asian",0.0,300.0
Basveshwara Khaanavali,Bannerghatta Road,South Indian,0.0,250.0
Brahma Brews,JP Nagar,"Continental, South Indian, Finger Food, Pizza, Seafood",0.0,1400.0
Levitate Brewery and Kitchen,JP Nagar,"Finger Food, North Indian, Continental",0.0,1500.0
Hakuna Matata,JP Nagar,"North Indian, Asian, Seafood, Chinese",4.5,1200.0
Three Dots & A Dash,JP Nagar,"European, Continental",4.3,1500.0
Hunger Camp,JP Nagar,"North Indian, South Indian, Chinese, Seafood",4.6,1300.0
55 Wall Street,JP Nagar,"Finger Food, North Indian, Chinese",3.9,1300.0
Parkview,JP Nagar,"South Indian, North Indian, Chinese",4.0,300.0
Danapani,JP Nagar,"North Indian, South Indian, Chinese",3.8,400.0
Inchara,JP Nagar,"North Indian, Continental, Chinese",3.7,950.0
Kabab Mehal,JP Nagar,"North Indian, Chinese, Kebab, Juices",3.8,400.0
Chatori Gali,JP Nagar,"North Indian, Street Food",2.9,600.0
Swathi Restaurant,JP Nagar,Mangalorean,3.8,400.0
White Horse,JP Nagar,"North Indian, Mangalorean, Chinese",3.8,400.0
Coconut Grove,JP Nagar,"South Indian, Chettinad, Kerala, Seafood",3.4,1100.0
Mast Kalandar,JP Nagar,North Indian,2.3,450.0
Turquoise,JP Nagar,North Indian,2.8,1200.0
Eagle Bar & Restaurant,JP Nagar,"North Indian, Chinese",3.2,700.0
New Nandan Family Restaurant,JP Nagar,"Biryani, Chinese, Hyderabadi, Kebab",0.0,300.0
Birthday Buddy,JP Nagar,"North Indian, South Indian, Chinese",0.0,1200.0
Gopal Kabab Centre,JP Nagar,North Indian,3.3,350.0
Hotel Tanish Jolada Rotti Oota,JP Nagar,South Indian,0.0,180.0
Nandi Bidadi Thatte Idli,JP Nagar,South Indian,2.9,100.0
Gowdru Military Hotel,JP Nagar,"Biryani, South Indian",3.2,300.0
Coffee Cafe,JP Nagar,South Indian,0.0,100.0
Biriyani Expess,JP Nagar,Biryani,0.0,250.0
Udupi Cafe,JP Nagar,"South Indian, North Indian, Chinese",0.0,200.0
Sri Nanjundeshwara Canteen,JP Nagar,South Indian,0.0,150.0
Chinese Kitchen,JP Nagar,Chinese,0.0,400.0
Dallas Hot & Cold,JP Nagar,Fast Food,0.0,300.0
Maland Restaurant Veg & Non-Veg,JP Nagar,North Indian,0.0,250.0
Samosa Singh,JP Nagar,"North Indian, Mithai",0.0,250.0
Zatar House,Electronic City,"South Indian, North Indian, Chinese",4.0,400.0
Owl's Kitchen,Sarjapur Road,"North Indian, Chinese",2.6,500.0
Thani Nadan Food,BTM,North Indian,0.0,300.0
Biriyani Angadi,BTM,Biryani,3.2,200.0
Cee Yem,BTM,"South Indian, Kerala, North Indian",0.0,300.0
Momo King,Bommanahalli,Chinese,0.0,250.0
Hotel Adhvi,BTM,South Indian,0.0,150.0
Rana Vada Pav,BTM,Street Food,0.0,100.0
Let's Bounce,JP Nagar,Fast Food,0.0,150.0
Fusion Theory,Jayanagar,"Chinese, Continental, North Indian, South Indian, Beverages",0.0,700.0
MG's Fine Dining & Bar - Springs Hotel & Spa,Basavanagudi,"North Indian, Asian, Continental",3.8,800.0
1947,Jayanagar,"North Indian, Chinese",4.1,950.0
Tree Top,Wilson Garden,"Continental, Chinese, North Indian, South Indian",3.8,1000.0
The Sofraah Kebabs & Kurries - Eden Park Restaurants,Jayanagar,"North Indian, Afghani",3.8,1350.0
The Yellow Chilli,Jayanagar,"North Indian, Mughlai, Biryani",3.8,1200.0
